date,normal_cost_cny,adjustment_cost_cny,emergency_cost_cny,total_cost_cny,emergency_kwh,initial_kwh,terminal_kwh
2025-01-01,0.0,0.0,423086.4059909256,423086.4059909256,87715.17001756668,6000.0,1200.0000009999999
2025-01-02,80529.99078460326,6935.6687478728,6955.473031278709,94421.13256375477,1133.9619098779476,1200.0000009999999,1608.9315328518517
2025-01-03,54920.3070464014,8151.452110029414,1.7392890790646254e-12,63071.75915643082,4.161294772712888e-13,1608.9315328518517,7775.061169751601
2025-01-04,36283.72831388012,6152.4221318418,2.2606627680943347e-13,42436.15044572192,1.1368683772161603e-13,7775.061169751601,4223.712618836072
2025-01-05,65140.543557504665,5232.672915723469,56205.29113527786,126578.507608506,8886.14163280425,4223.712618836072,1200.0000009999999
2025-01-06,86299.67579134932,1222.1357560085426,1.5464823229242777e-12,87521.81154735787,3.2439559393727946e-13,1200.0000009999999,3303.0599689924497
2025-01-07,81299.96191540801,1080.1249078492285,6.840537025709637e-13,82380.08682325724,1.1368683772161603e-13,3303.0599689924497,2641.593107040102
2025-01-08,86015.75924742332,3425.3052157015354,1.4844658835500014e-12,89441.06446312486,4.547473508864641e-13,2641.593107040102,3224.24475468842
2025-01-09,84505.1409919702,1413.8818537752138,9.391101229994093e-13,85919.0228457454,3.410605131648481e-13,3224.24475468842,2584.9827623017595
2025-01-10,54942.364662859065,8313.054522677834,1.0566054697846994e-12,63255.4191855369,2.8421709430404007e-13,2584.9827623017595,9333.647938505943
2025-01-11,46837.49610301382,2632.641354366939,4.709477252617944e-13,49470.13745738076,1.7053025658242404e-13,9333.647938505943,6530.952444775988
2025-01-12,66402.18678067157,3708.832767958289,36840.552171850424,106951.57172048028,5766.514756699758,6530.952444775988,1200.0000009999999
2025-01-13,81502.42325195798,1311.8470896487233,1.2018972483929246e-12,82814.27034160671,3.410605131648481e-13,1200.0000009999999,2538.8712398819416
2025-01-14,85154.48786934456,1785.3471438886513,2.1741470845881852e-12,86939.83501323321,3.410605131648481e-13,2538.8712398819416,3464.067425365451
2025-01-15,79769.86946233315,1480.0891994612477,1.5859882296354042e-12,81249.9586617944,2.8421709430404007e-13,3464.067425365451,2966.3401900002928
2025-01-16,81481.94562524294,627.4906544603571,2.5807860269756236e-12,82109.4362797033,4.654082735790644e-13,2966.3401900002928,3777.708462998146
2025-01-17,59583.39516720771,2775.061499183011,1.7344632396998349e-12,62358.45666639072,5.684341886080801e-13,3777.708462998146,9485.231785515638
