question,label,total_cost_cny,normal_cost_cny,adjustment_cost_cny,emergency_cost_cny,emergency_energy_kwh,unused_supply_energy_kwh,net_mae_kw,peak_net_mae_kw,february_initial_energy_kwh,terminal_energy_kwh,runtime_seconds
2,factor_separate_weighted,18745190.39668503,16576945.91387748,0.0,2168244.482807553,366737.8453969227,7330897.130857475,865.795523187188,1006.9819252876746,10498.877885032849,3030.4223232314816,4.895379599998705
2,factor_net_weighted_65,20422478.26409479,14287858.885879112,0.0,6134619.378215676,1052580.8040970708,4827399.453490393,865.795523187188,1006.9819252876746,9450.509589900566,1941.578134246296,5.055865200003609
2,factor_net_adaptive_65,14242660.416005867,12752424.773533214,0.0,1490235.6424726539,259155.6946175823,1956760.063723103,274.5815199549938,270.03997295719716,2705.8233814026057,1347.4967297037037,7.593913599994266
2,factor_scenario5,14084759.69113373,13552257.63302392,0.0,532502.0581098103,93712.21744733241,2971082.880161712,274.5815199549938,270.03997295719716,3156.1492838111103,1788.5659270866913,11.743494100010139
2,factor_scenario5_cvar,14653020.590763198,14279054.397637231,0.0,373966.19312596787,66409.27057946582,3865826.469121139,274.5815199549938,270.03997295719716,6640.25943891111,2121.813809123729,11.619570999988355
2,factor_reserve05,14242660.41600587,12752424.773533214,0.0,1490235.6424726567,259155.69461758298,1956760.0637230987,274.5815199549938,270.03997295719716,2705.8233814026057,1347.4967297037037,5.292111900009331
2,factor_reserve20,14242660.416005872,12752424.773533214,0.0,1490235.64247266,259155.6946175836,1956760.0637230987,274.5815199549938,270.03997295719716,2705.8233814026057,1347.4967297037037,5.101996899989899
3,factor_separate_weighted,17224230.554533113,15151200.712357817,1275580.758104583,797449.0840707126,150901.15394591147,5030271.0506458925,644.097177262847,702.5957296557008,8691.957520870485,2774.3898703777136,22.126620800001547
3,factor_net_weighted_65,16954472.99222089,14027156.976894962,1123973.7487957797,1803342.26653015,346209.82272432186,3582105.307029603,644.097177262847,702.5957296557008,7815.554145576506,1786.8737998424062,21.66531959999702
3,factor_net_adaptive_65,13438763.546948055,12719255.841643091,489124.0527943116,230383.6525106534,47461.5771111557,1564313.6106865807,208.7091384968977,198.19145698613167,2327.776640152232,1383.4406664457363,21.429437500002678
3,factor_scenario5,13793617.031299172,13242685.864040758,478141.0005895626,72790.16666884994,15300.655763250019,2288521.752554792,208.7091384968977,198.19145698613167,3129.730168803354,1797.0459688176913,46.25258730001224
3,factor_scenario5_cvar,14227233.624264311,13490504.019090123,685708.8278470272,51020.77732716084,9782.053250637315,2647623.7584665073,208.7091384968977,198.19145698613167,5188.691168562722,2018.729280768886,49.97578709998925
3,factor_reserve05,13438763.546948016,12719255.841643056,489124.0527942958,230383.65251066515,47461.57711115806,1564313.6106865501,208.7091384968977,198.19145698613167,2327.7766401522404,1383.4406664457363,23.272525499996846
3,factor_reserve20,13438763.546947824,12719255.84164294,489124.052794219,230383.65251066402,47461.577111157836,1564313.6106864319,208.7091384968977,198.19145698613167,2327.7766401522467,1383.4406664457363,22.72581319999881
3,hours_0_continuous,14466626.009870213,12896912.833329402,0.0,1569713.1765408115,268406.22330623865,2169699.5796896517,312.91595173061876,297.50693231844383,2705.8757147359406,1347.4967297037037,4.936234599997988
