date,normal_cost_cny,adjustment_cost_cny,emergency_cost_cny,total_cost_cny,emergency_kwh,initial_kwh,terminal_kwh
2025-01-01,0.0,0.0,423086.4059909256,423086.4059909256,87715.17001756668,6000.0,1200.0000009999999
2025-01-02,80856.16933323692,6945.798591138153,7105.423188265294,94907.39111264037,1143.835517562089,1200.0000009999999,1547.7941292810528
2025-01-03,54793.320544657654,8340.935282039212,1.4062209174880988e-12,63134.25582669687,2.8421709430404007e-13,1547.7941292810528,7379.053472559686
2025-01-04,35732.67026981937,6315.211446219099,2.2606627680943347e-13,42047.88171603847,1.1368683772161603e-13,7379.053472559686,3519.3659023062787
2025-01-05,66052.7897856051,5636.303206039396,53448.15431888036,125137.24731052485,8449.790009757613,3519.3659023062787,1200.0000009999999
2025-01-06,85248.23645568936,1381.0087475901973,1.458772658224916e-12,86629.24520327956,2.8421709430404007e-13,1200.0000009999999,2824.926291934101
2025-01-07,89408.05307026402,1876.9142090858777,3.518099357327367e-12,91284.9672793499,6.261149097016444e-13,2824.926291934101,3588.5844331693493
2025-01-08,89821.03571852966,6223.87146703903,9.97931704096013e-13,96044.90718556869,2.5011104840856613e-13,3588.5844331693493,4053.9438820689725
2025-01-09,91576.0318256499,3693.4860942005116,3.2923708204180006e-13,95269.51791985042,5.684341886080802e-14,4053.9438820689725,3806.9856997501356
2025-01-10,54193.386425212,8337.503915831076,1.416424311173614e-12,62530.89034104307,2.8421709430404007e-13,3806.9856997501356,9179.065685811707
2025-01-11,50942.46430288932,6722.6803879670715,1.1638618957476868e-12,57665.14469085639,4.689582056016661e-13,9179.065685811707,7991.572870226911
2025-01-12,73795.48046507269,2935.5334720317533,3.755587840714724e-12,76731.01393710444,7.958078640513122e-13,7991.572870226911,1704.897339925309
2025-01-13,83640.06453401223,2905.8839674087994,1.7444108380004763e-12,86545.94850142102,2.8421709430404007e-13,1704.897339925309,3113.577622501141
2025-01-14,87611.79498990772,3202.696377767049,2.1603341338050088e-12,90814.49136767477,3.410605131648481e-13,3113.577622501141,4214.931920222582
2025-01-15,90503.71744075698,2399.226812482915,1.1096233294049163e-12,92902.9442532399,2.0463630925416157e-13,4214.931920222582,4829.486858651829
2025-01-16,90698.35145427386,3042.600623174774,1.505255896110894e-12,93740.95207744863,2.3409719258557504e-13,4829.486858651829,4871.442600589098
2025-01-17,63455.95052148506,7042.658835920642,1.2830412288167281e-12,70498.6093574057,6.252776074688882e-13,4871.442600589098,10073.22591868014
2025-01-18,48474.95212768093,7810.293811828261,4.574758349917829e-13,56285.245939509194,1.1368683772161603e-13,10073.22591868014,7768.119272754708
2025-01-19,66109.18649518496,2253.4097926805994,16027.737747904712,84390.33403577027,2328.38880426586,7768.119272754708,1386.67962795
2025-01-20,76823.87753906318,3269.658961467198,3663.551323192483,83757.08782372286,572.3466215407105,1386.67962795,1937.3030934499998
2025-01-21,78250.11745281913,4217.380370817776,9.314682358763093e-13,82467.4978236369,1.9184653865522705e-13,1937.3030934499998,4053.267595760919
2025-01-22,88181.84178016502,7129.001432834388,1.4226202438294422e-12,95310.8432129994,2.2737367544323206e-13,4053.267595760919,4207.321599017372
2025-01-23,89330.26154316711,5475.224307064064,1.0729479527071818e-12,94805.48585023118,1.7053025658242404e-13,4207.321599017372,4476.054539209044
