date,normal_cost_cny,adjustment_cost_cny,emergency_cost_cny,total_cost_cny,emergency_kwh,initial_kwh,terminal_kwh
2025-01-22,95660.96604424565,0.0,1.5769785477459665e-12,95660.96604424565,2.8421709430404007e-13,4074.810732074076,4753.333560422223
2025-01-23,95638.72763914839,0.0,2.1560140339715873e-12,95638.72763914839,3.410605131648481e-13,4753.333560422223,4352.275125894446
2025-01-24,36342.30750085901,0.0,0.0,36342.30750085901,0.0,4352.275125894446,5080.237683595167
2025-01-25,34129.49313314914,0.0,4.653770702134352e-13,34129.49313314914,1.1368683772161603e-13,5080.237683595167,5133.00367509305
2025-01-26,92877.38211663988,0.0,1.3842509360983968e-12,92877.38211663988,2.2737367544323206e-13,5133.00367509305,4388.942203759716
2025-01-27,88016.35821751438,0.0,9.79838432613178e-13,88016.35821751438,1.7053025658242404e-13,4388.942203759716,3302.363257178118
2025-01-28,80169.269351429,0.0,1.0259668670187238e-12,80169.269351429,1.7053025658242404e-13,3302.363257178118,2846.051043696671
2025-01-29,78120.79248331225,0.0,3.155378180963453e-13,78120.79248331225,5.684341886080802e-14,2846.051043696671,3443.7208503839784
2025-01-30,74806.55730067728,0.0,8.893721314962022e-13,74806.55730067728,1.7053025658242404e-13,3443.7208503839784,3124.4428186537016
2025-01-31,34709.40133186334,0.0,0.0,34709.40133186334,0.0,3124.4428186537016,5350.986486701851
2025-02-01,30974.741662805274,0.0,4.911271389573813e-13,30974.741662805274,1.1368683772161603e-13,3962.4737157808877,5347.998138264815
2025-02-02,66809.32304056399,0.0,3.9000269680400373e-13,66809.32304056399,8.526512829121202e-14,5347.998138264815,2830.763028603704
2025-02-03,66816.55426860675,0.0,7.492815257137408e-13,66816.55426860675,1.4210854715202004e-13,2830.763028603704,2592.127461414815
2025-02-04,66093.62981323828,0.0,2.4386395125475244e-12,66093.62981323828,6.252776074688882e-13,2592.127461414815,2561.382064874075
2025-02-05,72817.87089280211,0.0,2.561080236773705e-13,72817.87089280211,5.684341886080802e-14,2561.382064874075,3092.6948461444476
2025-02-06,70487.87843189096,0.0,2.6182931378571085e-12,70487.87843189096,5.684341886080801e-13,3092.6948461444476,3499.0126771265054
2025-02-07,23449.511933110916,0.0,0.0,23449.511933110916,0.0,3499.0126771265054,3276.7711340462947
2025-02-08,21011.257869180507,0.0,0.0,21011.257869180507,0.0,3276.7711340462947,2847.8680333962952
2025-02-09,64611.295884632185,0.0,4.437321621253432e-12,64611.29588463219,1.1155520951433573e-12,2847.8680333962952,3075.3110445872317
2025-02-10,65722.4013707239,0.0,2.8472868507378737e-13,65722.4013707239,5.684341886080802e-14,3075.3110445872317,3104.475315213076
2025-02-11,62562.64523842141,0.0,1.9036583678497513e-12,62562.64523842141,3.791951290726264e-13,3104.475315213076,2973.7362094240734
2025-02-12,60748.03564609126,0.0,1.819358885768452e-12,60748.03564609126,3.694822225952521e-13,2973.7362094240734,2847.712235657114
2025-02-13,60637.86830688435,0.0,6.18969899898107e-13,60637.86830688435,1.1994521857943558e-13,2847.712235657114,2995.7496257997095
2025-02-14,18048.83668674962,0.0,7.984226613189094e-13,18048.83668674962,3.410605131648481e-13,2995.7496257997095,2636.184666762963
2025-02-15,17265.600918236327,0.0,8.324576583618182e-13,17265.600918236327,2.984279490192421e-13,2636.184666762963,1533.8657566481472
2025-02-16,60326.43229409051,0.0,0.0,60326.43229409051,0.0,1533.8657566481472,2554.294129525732
2025-02-17,59572.95711655272,0.0,7.82126904907976e-13,59572.95711655272,1.6016354908998665e-13,2554.294129525732,2882.151750287038
2025-02-18,57180.39975010636,0.0,7.237161980810925e-13,57180.39975010636,1.4566126083082054e-13,2882.151750287038,3034.1951551571124
2025-02-19,57111.97473168081,0.0,0.0,57111.97473168081,0.0,3034.1951551571124,2206.2160704925955
2025-02-20,56342.16674001097,0.0,3.4579551211580037e-12,56342.16674001097,8.041868901484048e-13,2206.2160704925955,2079.03777543148
2025-02-21,17196.42320005715,0.0,3.359446054673754e-13,17196.42320005715,2.2737367544323206e-13,2079.03777543148,2144.1961065111072
2025-02-22,17238.94456347759,0.0,0.0,17238.94456347759,0.0,2144.1961065111072,2285.2614578388893
2025-02-23,54682.37172620311,0.0,1.5692478427808965e-12,54682.37172620311,3.268496584496461e-13,2285.2614578388893,2097.0692022814796
2025-02-24,55135.514332818806,0.0,1.0333565114706288e-12,55135.514332818806,2.2737367544323206e-13,2097.0692022814796,2410.394063344052
2025-02-25,52824.109757202714,0.0,1.843263319756261e-12,52824.109757202714,4.156675004196586e-13,2410.394063344052,2023.6993768759262
2025-02-26,50547.25731380924,0.0,2.3599966425535967e-12,50547.25731380924,5.115907697472721e-13,2023.6993768759262,2270.9630693346658
2025-02-27,48766.302042319774,0.0,467.3546569909783,49233.656699310755,87.2662976362578,2270.9630693346658,2062.261435500455
2025-02-28,15253.788476533351,0.0,1.2266809790162369e-12,15253.788476533353,6.821210263296962e-13,2062.261435500455,2002.24025507408
2025-03-01,15056.201796624024,0.0,1.1200427252333612e-12,15056.201796624026,6.252776074688882e-13,2002.24025507408,2122.483930666665
2025-03-02,52936.350918964345,0.0,7171.2258823951215,60107.576801359464,1157.0633092192174,2122.483930666665,1571.7753243333334
2025-03-03,53738.54127145307,0.0,1148.0844353946375,54886.625706847706,210.70492531665104,1571.7753243333334,1398.0159595185185
2025-03-04,55208.2202448356,0.0,5.64356383847553e-12,55208.220244835604,1.6413537196058314e-12,1398.0159595185185,1684.9249867407452
2025-03-05,55576.21224428865,0.0,1.4125221691363864e-12,55576.21224428865,3.0508782349406016e-13,1684.9249867407452,1809.4549814188315
2025-03-06,51679.16207011882,0.0,1.1631513530119265e-12,51679.16207011882,2.4158453015843406e-13,1809.4549814188315,1640.2365409142976
2025-03-07,14136.491799079886,0.0,2.041815605480224e-12,14136.491799079888,9.094947017729282e-13,1640.2365409142976,2220.4074141476976
2025-03-08,13457.136183532595,0.0,1.0309122444596143e-12,13457.136183532597,4.547473508864641e-13,2220.4074141476976,2014.2103969999441
2025-03-09,47418.36289252846,0.0,9.048237714637253e-13,47418.36289252846,2.469136006766348e-13,2014.2103969999441,1949.781305974931
2025-03-10,47349.82955604792,0.0,4.713372803166749e-12,47349.829556047924,1.1546319456101628e-12,1949.781305974931,1630.9119238468368
2025-03-11,48292.77574766538,0.0,1.4100578482612035e-12,48292.77574766538,3.410605131648481e-13,1630.9119238468368,1998.879558117708
2025-03-12,44953.60162185791,0.0,149.13515462609863,45102.73677648401,22.739216989570835,1998.879558117708,1441.1235911851848
2025-03-13,44925.56012872448,0.0,12512.847517442126,57438.407646166605,2077.0743878005474,1441.1235911851848,1500.811573222222
2025-03-14,12608.010676001162,0.0,95.01830703307692,12703.028983034239,26.913555313150482,1500.811573222222,1889.734516937256
2025-03-15,13334.016260456676,0.0,7.00538294040598e-13,13334.016260456676,3.410605131648481e-13,1889.734516937256,1519.2548748814152
2025-03-16,45329.31014671451,0.0,8.081100000000575,45337.39124671451,1.6400000000001285,1519.2548748814152,1754.2290549850695
2025-03-17,43975.16289154867,0.0,4.760067895404063e-13,43975.16289154867,2.2737367544323206e-13,1754.2290549850695,2128.5699493653647
2025-03-18,44070.18950811164,0.0,5.74331693314889e-13,44070.18950811164,2.4158453015843406e-13,2128.5699493653647,1943.0944363585083
2025-03-19,41598.32415985459,0.0,1895.119549909257,43493.443709763844,373.17127448627593,1943.0944363585083,2366.085135198876
2025-03-20,44180.01110911652,0.0,1692.997145595993,45873.00825471252,255.97174865376385,2366.085135198876,1532.672377612455
2025-03-21,12302.229499838544,0.0,9.028156000567833e-14,12302.229499838544,2.842170943040401e-14,1532.672377612455,1558.702876592593
2025-03-22,12960.532128326782,0.0,5.20515186508419e-13,12960.532128326782,2.5579538487363607e-13,1558.702876592593,2430.2462199937495
