日期,正常费,调整费,紧急费,总费用,紧急电量,未利用供给,日初电量,日末电量,预测方法
2025-01-01,60769.78075636492,7436.677211688907,16049.263919393235,84255.72188744707,3250.059882548773,9.094947017729282e-13,6000.0,2481.742458900342,weighted/weighted/weighted/weighted
2025-01-02,66500.44971059778,5291.031287285618,6898.963385148982,78690.44438303237,1133.961909877949,7075.561269415301,2481.742458900342,1608.9315328518517,weighted/weighted/weighted/weighted
2025-01-03,59272.14082741128,8311.241952406977,1.706467855910887e-12,67583.38277981826,3.694822225952521e-13,38894.5061733028,1608.9315328518517,8104.506031273423,weighted/weighted/weighted/weighted
2025-01-04,31480.36501842358,3275.653976949924,1.0967937669192906e-13,34756.0189953735,5.684341886080802e-14,11608.123141319791,8104.506031273423,2625.471189251752,weighted/weighted/weighted/weighted
2025-01-05,54236.09405589856,10585.431853557371,67969.50272484164,132791.02863429757,13341.702778037285,1.6004975122996257e-12,2625.471189251752,1200.0000009999999,weighted/weighted/weighted/weighted
2025-01-06,61450.24904522575,2344.6262066495433,4872.761616869822,68667.63686874512,830.6862970473413,1064.4828995891623,1200.0000009999999,1332.9110181110937,weighted/weighted/weighted/weighted
2025-01-07,64664.182838950794,1845.9459516101986,1.8196810907047946e-12,66510.128790561,6.171617578966393e-13,1717.4496887990717,1332.9110181110937,2121.1724141851005,weighted/weighted/weighted/weighted
2025-01-08,63960.167864533374,4688.407380226805,0.0,68648.57524476018,0.0,4613.9232790147225,2121.1724141851005,2107.6925628530366,weighted/weighted/weighted/weighted
2025-01-09,65954.23577256102,2538.1370309753165,2.6500401872908696e-13,68492.37280353633,1.1368683772161603e-13,5736.675259122755,2107.6925628530366,1776.1186656359491,weighted/weighted/weighted/weighted
2025-01-10,53472.74377525713,9592.667927739485,2.1831851881870532e-12,63065.411702996615,3.979039320256561e-13,32170.028608657092,1776.1186656359491,7285.026949940581,weighted/weighted/weighted/weighted
2025-01-11,39531.247911707316,6132.72638949202,0.0,45663.974301199334,0.0,21184.10987984253,7285.026949940581,4129.769332242576,weighted/weighted/weighted/weighted
2025-01-12,58197.04636201307,7115.707761516438,28319.902556248773,93632.65667977827,5642.95443946816,7.480908253976182e-13,4129.769332242576,1209.513841,weighted/weighted/weighted/weighted
2025-01-13,58922.60000072767,3421.0838387526337,7294.062715135971,69637.74655461627,1540.2538994908682,418.0803111265086,1209.513841,1200.000001,weighted/weighted/weighted/weighted
2025-01-14,62400.94508854951,1422.9815199282762,2.4307953852900633e-12,63823.926608477785,7.029947912857992e-13,2302.345659912151,1200.000001,1870.2009085789896,weighted/weighted/weighted/weighted
2025-01-15,64608.461573315384,1313.597057590218,2.563098178143264e-12,65922.05863090561,7.958078640513122e-13,4199.376547560347,1870.2009085789896,2340.599891608891,weighted/weighted/weighted/weighted
2025-01-16,61545.022765473885,1989.8548176569886,911.4451677227192,64446.32275085359,134.44609532962113,2807.568228711949,2340.599891608891,1688.7186308633936,weighted/weighted/weighted/weighted
2025-01-17,54117.34647059541,7054.952948549709,1.8314239014216582e-12,61172.29941914512,4.831690603168681e-13,35369.90517681041,1688.7186308633936,7608.443629734598,weighted/weighted/weighted/weighted
2025-01-18,38743.47081625535,6841.883483921604,4.624212124326732e-13,45585.35430017696,2.2737367544323206e-13,22003.41214848669,7608.443629734598,4434.253184670361,weighted/weighted/weighted/weighted
2025-01-19,55451.24632704705,7371.213337930927,34690.97497893983,97513.4346439178,6832.77822885592,1.411498386704943e-12,4434.253184670361,1200.0000009999999,weighted/weighted/weighted/weighted
2025-01-20,58294.54757936628,2597.9500945339787,11664.040862203785,72556.53853610404,2276.0637054669,23.39653658524469,1200.0000009999999,1279.4570271754571,weighted/weighted/weighted/weighted
2025-01-21,58672.434864355964,1701.3465186937012,7.747181351297484e-13,60373.78138304967,2.890031963742601e-13,2675.7932345582294,1279.4570271754571,2375.9997448565205,weighted/weighted/weighted/weighted
2025-01-22,64084.12025418446,3461.796607029751,1.6813573198645737e-12,67545.91686121421,3.6982174050556593e-13,6198.864572067694,2375.9997448565205,1687.8315029218033,weekly/weekly/weekly/weekly
2025-01-23,64756.24142043662,3012.1338948145117,1.1798420018749312e-12,67768.37531525113,2.8421709430404007e-13,5547.917606673992,1687.8315029218033,2122.0325318354494,weekly/weekly/weekly/weekly
2025-01-24,25864.759602730715,1938.3400328265054,0.0,27803.09963555722,0.0,4351.721693441297,2122.0325318354494,2417.900505337438,weekly/weekly/weekly/weekly
2025-01-25,26687.370900597274,1258.6733760989355,7.553637715318474e-13,27946.044276696208,1.7053025658242404e-13,7513.855966194185,2417.900505337438,2246.894842710716,weekly/weekly/weekly/weekly
2025-01-26,62342.594038009316,3893.5705198676123,1.2712746411125408e-12,66236.16455787692,3.979039320256561e-13,4715.1265100681185,2246.894842710716,2080.4019608851236,weekly/weekly/weekly/weekly
2025-01-27,59102.529481354555,1689.3659000207044,1.1236678254533674e-12,60791.89538137526,3.455014052633487e-13,3414.5922175905907,2080.4019608851236,1966.0329419289887,weekly/weekly/weekly/weekly
2025-01-28,60621.13783989458,2345.820697992383,298.5233169327527,63265.48185481972,42.7929066704063,3736.404656193934,1966.0329419289887,1719.4944822007756,weekly/weekly/weekly/weekly
2025-01-29,57058.32781133622,1789.5353798626406,56.85227330742486,58904.715464506284,9.787771938955844,4361.721509103338,1719.4944822007756,2149.816840046419,weekly/weekly/weekly/weekly
2025-01-30,59224.79440693192,986.9742332982407,9.14730657539109e-13,60211.76864023016,2.573271457029236e-13,4644.6128282586515,2149.816840046419,1805.4581567536713,weekly/weekly/weekly/weekly
2025-01-31,24481.562579038153,808.6041914116882,5.330775820766576e-13,25290.16677044984,2.2737367544323206e-13,3397.467059823224,1805.4581567536713,2327.776640152232,weekly/weekly/weekly/weekly
2025-02-01,22756.626940326925,1925.485427897026,0.0,24682.112368223952,0.0,5127.605741773898,2327.776640152232,2476.2340546306655,weekly/weekly/weekly/weekly
2025-02-02,54609.12204322842,3200.5115325421407,836.2990620406543,58645.93263781122,119.88231967325905,4895.165582468129,2476.2340546306655,1926.3625259675212,weekly/weekly/weekly/weekly
2025-02-03,55380.91952311618,3375.7742344957,2.8594791178990225e-12,58756.69375761188,9.103195627857552e-13,3519.866971067007,1926.3625259675212,2062.2747546101696,weekly/weekly/weekly/weekly
2025-02-04,56514.92692623558,3808.6618202342506,14.387781594351917,60337.97652806418,6.854588658576176,4501.212219724133,2062.2747546101696,1689.933962135714,weekly/weekly/weekly/weekly
2025-02-05,55092.675444121334,2167.0269124971865,21.839827547983965,57281.54218416651,3.130709224195104,2402.005470826236,1689.933962135714,1856.5750345624394,weekly/weekly/weekly/weekly
2025-02-06,55156.93216630762,4232.4402611663445,112.93406461817685,59502.30649209214,19.33369556358869,3119.6880917193726,1856.5750345624394,1904.2463417833953,weekly/weekly/weekly/weekly
2025-02-07,21955.76275621704,1699.9022024546232,0.0,23655.664958671663,0.0,6828.860144774011,1904.2463417833953,1775.4728385718192,weekly/weekly/weekly/weekly
2025-02-08,19871.820162370885,148.21487271799228,2.734168447204866e-12,20020.03503508888,6.821210263296962e-13,2615.466755702978,1775.4728385718192,1887.9126639841118,weekly/weekly/weekly/weekly
2025-02-09,55096.17517030304,997.5857191816626,2.8681738451288853e-13,56093.7608894847,7.007805793990407e-14,3459.34177855464,1887.9126639841118,1620.8933744064252,weekly/weekly/weekly/weekly
2025-02-10,50194.195075592375,2208.8212319306194,51.36830685994248,52454.384614382936,11.924871834331725,2139.536042411977,1620.8933744064252,1260.4849503666667,weekly/weekly/weekly/weekly
2025-02-11,50132.58521217572,2255.233466653202,1436.262576019576,53824.0812548485,232.4308182791047,1160.7838374264836,1260.4849503666667,1510.1415874863546,weekly/weekly/weekly/weekly
2025-02-12,50536.410525885585,2069.0868391740973,110.5225522480943,52716.01991730778,25.236340278135806,1441.3865107826746,1510.1415874863546,1438.8271552455517,weekly/weekly/weekly/weekly
2025-02-13,47475.52351446675,1553.6546187240301,1462.1372008422372,50491.315334033025,225.55548404840596,1737.2273788180482,1438.8271552455517,1512.324931111111,weekly/weekly/weekly/weekly
2025-02-14,20692.582077349558,765.274415023362,5.04428500170209e-13,21457.85649237292,1.3129355933070956e-13,3908.5005113111556,1512.324931111111,2720.055265402342,weekly/weekly/weekly/weekly
2025-02-15,18834.083624768245,372.6586526752287,7.707967527730052e-14,19206.742277443474,2.700759470122653e-14,4153.449399075649,2720.055265402342,1493.4100833142463,weekly/weekly/weekly/weekly
2025-02-16,50315.7114708123,3412.1338093565746,87.13050750000244,53814.975787668875,19.151666666667403,478.0258338567983,1493.4100833142463,1516.3669956470903,weekly/weekly/weekly/weekly
2025-02-17,46959.62131072789,3384.3207155947894,314.3638757818952,50658.30590210457,49.353211699791544,944.0199068141186,1516.3669956470903,1458.778914860221,weekly/weekly/weekly/weekly
2025-02-18,48407.28014426234,938.5541949550753,113.66167500000437,49459.49601421742,24.983333333334713,783.0121013287595,1458.778914860221,1888.964267008063,weekly/weekly/weekly/weekly
2025-02-19,48560.30086098205,594.2558136821908,1138.0008923626074,50292.55756702685,252.77419674305293,1639.3925613996573,1888.964267008063,1207.6569770962967,weekly/weekly/weekly/weekly
2025-02-20,48265.48655538569,1370.5516313040207,205.37803386244232,49841.41622055215,43.84671944117068,2369.3061202170256,1207.6569770962967,1814.662811534898,weekly/weekly/weekly/weekly
2025-02-21,18100.553746676364,60.3526693878514,7.740368346276227e-13,18160.906416064216,3.410605131648481e-13,6216.235269925794,1814.662811534898,1591.8264521896535,weekly/weekly/weekly/weekly
2025-02-22,19121.452120543283,622.7789505213076,0.0,19744.23107106459,0.0,3755.2565330600955,1591.8264521896535,2446.5766505190263,weekly/weekly/weekly/weekly
2025-02-23,46832.27543099495,1513.9441902310907,4.41723830436461,48350.63685953041,0.9430483143392698,1110.4303620227222,2446.5766505190263,1386.9342318015565,weekly/weekly/weekly/weekly
2025-02-24,46502.4743721717,1284.9130276983935,250.26659010555767,48037.65398997565,55.135713888889626,1525.4066360633785,1386.9342318015565,2240.645400771416,weekly/weekly/weekly/weekly
2025-02-25,43668.957544256875,2529.8029740102093,243.50103830837253,46442.26155657545,68.6695367355299,2208.447381056431,2240.645400771416,1237.818712666667,weekly/weekly/weekly/weekly
2025-02-26,46393.44659113858,863.3152127014079,1.360939827006096e-12,47256.76180383999,4.731281776001192e-13,1453.8159224665815,1237.818712666667,2218.4462244232336,weekly/weekly/weekly/weekly
2025-02-27,44589.811138733814,423.7497888439588,45.66415526761116,45059.22508284538,9.78217772003211,1122.2484507830673,2218.4462244232336,1682.569683234116,weekly/weekly/weekly/weekly
2025-02-28,17692.52302575232,92.5820332882723,0.0,17785.105059040594,0.0,7300.113071624388,1682.569683234116,1767.902867768942,weekly/weekly/weekly/weekly
2025-03-01,18716.308843612045,535.5180210719429,0.0,19251.82686468399,0.0,10255.250447287466,1767.902867768942,1444.8983978689946,weekly/weekly/weekly/weekly
2025-03-02,49381.63938755491,1864.4594095480236,1.9914736518384694e-12,51246.09879710293,4.921615822132616e-13,1996.586698711212,1444.8983978689946,2267.736704524498,weekly/weekly/weekly/weekly
2025-03-03,47343.17314034449,2835.05602038499,913.7750365717865,51092.00419730126,174.4842791022053,1264.6065631348597,2267.736704524498,1339.3551866449952,weekly/weekly/weekly/weekly
2025-03-04,46139.40665672932,872.6382605780246,3.4359182166099345e-12,47012.04491730734,1.0977885267493548e-12,925.0479179102844,1339.3551866449952,1474.968223318322,weekly/weekly/weekly/weekly
2025-03-05,44761.441383820485,3668.4594718352223,15.605370533335039,48445.50622618904,3.3316333333338832,1712.5250046347296,1474.968223318322,1471.399539306102,weekly/weekly/weekly/weekly
2025-03-06,44532.9260346237,1029.0908934447539,1.472074018238345e-12,45562.01692806845,3.410605131648481e-13,1495.9816006335413,1471.399539306102,1910.6937562720486,weekly/weekly/weekly/weekly
2025-03-07,17099.384193483587,832.0687357226627,2.8227242765410664e-13,17931.45292920625,1.234568003383174e-13,8913.485051965023,1910.6937562720486,1838.309280440441,weekly/weekly/weekly/weekly
