日期,时间段,充电kWh,放电kWh,0点储电kWh,24点储电kWh
2025-03-20,0:00-4:00,8076.7241775320945,210.92506666666668,2053.2522942211144,1483.4016982222224
2025-03-20,4:00-8:00,1873.2857914029826,5963.566219367614,2053.2522942211144,1483.4016982222224
2025-03-20,8:00-12:00,3789.4175269452608,2652.9438527021343,2053.2522942211144,1483.4016982222224
2025-03-20,12:00-16:00,6878.911104296003,254.72278333333327,2053.2522942211144,1483.4016982222224
2025-03-20,16:00-20:00,315.64595694765455,5852.357378706536,2053.2522942211144,1483.4016982222224
2025-03-20,20:00-24:00,413.5980096459463,2869.892114706367,2053.2522942211144,1483.4016982222224
2025-06-21,0:00-4:00,1860.8565361934984,146.93565000000007,1410.116764518518,2652.7817789698997
2025-06-21,4:00-8:00,1322.7360277777777,1782.5164645389555,1410.116764518518,2652.7817789698997
2025-06-21,8:00-12:00,9631.650677475998,0.0,1410.116764518518,2652.7817789698997
2025-06-21,12:00-16:00,0.0,0.0,1410.116764518518,2652.7817789698997
2025-06-21,16:00-20:00,74.45924832249307,5672.643536440686,1410.116764518518,2652.7817789698997
2025-06-21,20:00-24:00,1003.4075393984313,2532.9249596403524,1410.116764518518,2652.7817789698997
2025-09-23,0:00-4:00,8699.965108939032,31.620716666666794,1706.7102452993058,1679.8255352678086
2025-09-23,4:00-8:00,1554.7017966193923,6596.094202777778,1706.7102452993058,1679.8255352678086
2025-09-23,8:00-12:00,5622.931669056761,1896.6157166666667,1706.7102452993058,1679.8255352678086
2025-09-23,12:00-16:00,5218.051072245826,488.79201424565315,1706.7102452993058,1679.8255352678086
2025-09-23,16:00-20:00,238.84630445505888,5719.552597303955,1706.7102452993058,1679.8255352678086
2025-09-23,20:00-24:00,603.2998284743505,3061.1355729978723,1706.7102452993058,1679.8255352678086
2025-12-21,0:00-4:00,8334.335023596344,211.47869999999966,2042.4159527632894,1505.965805897555
2025-12-21,4:00-8:00,2523.319547668042,1534.7291944444446,2042.4159527632894,1505.965805897555
2025-12-21,8:00-12:00,5262.021881644392,7391.178771427913,2042.4159527632894,1505.965805897555
2025-12-21,12:00-16:00,7632.572314047938,2220.1091937495426,2042.4159527632894,1505.965805897555
2025-12-21,16:00-20:00,0.0,5922.472107672405,2042.4159527632894,1505.965805897555
2025-12-21,20:00-24:00,387.25696428946515,2755.8368071942614,2042.4159527632894,1505.965805897555
