date,normal_cost_cny,adjustment_cost_cny,emergency_cost_cny,total_cost_cny,emergency_kwh,initial_kwh,terminal_kwh
2025-01-01,0.0,0.0,423086.4059909256,423086.4059909256,87715.17001756668,6000.0,1200.0000009999999
2025-01-02,80856.16933295457,6945.798591138153,7105.423188265294,94907.39111235802,1143.835517562089,1200.0000009999999,1547.7941292810528
2025-01-03,54810.90425679191,8335.442490431296,1.4062209174880988e-12,63146.34674722321,2.8421709430404007e-13,1547.7941292810528,7255.34352123241
2025-01-04,35779.85904679865,6307.369885149048,2.2606627680943347e-13,42087.2289319477,1.1368683772161603e-13,7255.34352123241,3519.3659023062787
2025-01-05,66704.5479690405,6298.035508040375,53494.47855207711,126497.062029158,8390.993033525921,3519.3659023062787,1200.0000009999999
2025-01-06,85253.65355919598,1373.2246640457631,1.458772658224916e-12,86626.87822324174,2.8421709430404007e-13,1200.0000009999999,2749.6594801438296
2025-01-07,83260.04654393728,652.7224097034269,1.927901394083165e-12,83912.76895364071,4.547473508864641e-13,2749.6594801438296,2992.1704468450266
2025-01-08,86279.42749108674,3491.846895068721,9.764960764768521e-13,89771.27438615546,2.3874237547842625e-13,2992.1704468450266,3165.3461922169777
2025-01-09,84890.68080357363,1410.911558454383,7.646008270967286e-13,86301.59236202801,2.2737367544323206e-13,3165.3461922169777,2621.196291397134
2025-01-10,54641.65811880695,8583.874652309629,1.4061924957786686e-12,63225.532771116574,2.8421709430404007e-13,2621.196291397134,9168.089753590015
2025-01-11,50757.058971814724,6870.747750533748,1.6120793588925155e-13,57627.80672234847,1.1368683772161603e-13,9168.089753590015,7856.424898291791
2025-01-12,70697.33441645028,906.3908957587831,7035.671632530643,78639.39694473971,1114.8401668374568,7856.424898291791,1262.9737885
2025-01-13,82148.31450070269,1621.5801727606204,2.0659172150772066e-12,83769.8946734633,3.410605131648481e-13,1262.9737885,2541.1324448227733
2025-01-14,85530.63635401719,1875.528854365968,2.1741470845881852e-12,87406.16520838316,3.410605131648481e-13,2541.1324448227733,3583.6126726797524
2025-01-15,79870.75042964905,1487.2093267792325,1.5859882296354042e-12,81357.95975642829,2.8421709430404007e-13,3583.6126726797524,3022.978665535351
2025-01-16,91658.76223396856,2917.9550105505537,1.4655938684882127e-12,94576.71724451911,2.2737367544323206e-13,3022.978665535351,4882.987090458801
2025-01-17,62758.98347232398,5323.558080229968,1.7919886861694028e-12,68082.54155255394,5.893579081792805e-13,4882.987090458801,9875.822038996805
2025-01-18,47112.69425762554,5113.446930815733,0.0,52226.141188441274,0.0,9875.822038996805,7081.995773591108
2025-01-19,62825.88451030475,2586.860193144792,38165.32901404387,103578.07371749342,5840.646584824221,7081.995773591108,1305.010036322222
2025-01-20,69210.67032920645,604.229393458801,12210.783970697794,82025.68369336304,1801.6052442370888,1305.010036322222,1531.4656262527087
2025-01-21,78488.62412245065,4191.914965519967,9.314682358763093e-13,82680.53908797062,1.9184653865522705e-13,1531.4656262527087,4090.6259447052053
2025-01-22,88037.16216982281,6465.7057986248365,2.1347545953176446e-12,94502.86796844765,3.410605131648481e-13,4090.6259447052053,4111.592699275476
