date,normal_cost_cny,adjustment_cost_cny,emergency_cost_cny,total_cost_cny,emergency_kwh,initial_kwh,terminal_kwh
2025-01-01,0.0,0.0,423086.4059909256,423086.4059909256,87715.17001756668,6000.0,1200.0000009999999
2025-01-02,111487.95110813773,0.0,2.008277988352347e-12,111487.95110813773,4.547473508864641e-13,1200.0000009999999,2040.513956370369
2025-01-03,86413.1305489061,0.0,0.0,86413.1305489061,0.0,2040.513956370369,9298.842167443363
2025-01-04,63208.74380096031,0.0,5.797460289613808e-13,63208.74380096031,1.1368683772161603e-13,9298.842167443363,6010.401467842595
2025-01-05,75271.82472354367,0.0,30029.704634674967,105301.52935821864,4923.582551712962,6010.401467842595,1200.0000009999999
2025-01-06,87413.92009667131,0.0,0.0,87413.92009667131,0.0,1200.0000009999999,3295.8210996119747
2025-01-07,89576.7114331692,0.0,3.755047828235547e-12,89576.7114331692,6.252776074688882e-13,3295.8210996119747,2516.735517241928
2025-01-08,94530.27693240039,0.0,8.139576136717434e-13,94530.27693240039,1.2950982652840462e-13,2516.735517241928,3190.9780255217534
2025-01-09,97420.01144235511,0.0,7.036078386590816e-13,97420.01144235511,1.1368683772161603e-13,3190.9780255217534,3542.4974929828672
2025-01-10,75340.34375151427,0.0,1.64476432473748e-13,75340.34375151427,3.197442310920451e-14,3542.4974929828672,10385.858905089983
2025-01-11,51975.86828073143,0.0,1.5045884538267274e-12,51975.86828073143,2.8421709430404007e-13,10385.858905089983,6912.717796960267
2025-01-12,59121.54844852204,0.0,71976.20486589023,131097.75331441226,10690.070607767047,6912.717796960267,1200.0000009999999
2025-01-13,80679.76483921838,0.0,527.7901511496649,81207.55499036804,151.39812098228154,1200.0000009999999,1219.5233343333332
2025-01-14,86353.27249610981,0.0,8.732008199546223e-13,86353.27249610981,1.3111171152132943e-13,1219.5233343333332,2576.961418711861
2025-01-15,90569.53076235863,0.0,0.0,90569.53076235863,0.0,2576.961418711861,3355.8304324970436
2025-01-16,86440.98909059753,0.0,1.4578631635231433e-12,86440.98909059753,2.2737367544323206e-13,3355.8304324970436,3714.3107011167613
2025-01-17,66992.22573659799,0.0,1.1429506230342667e-12,66992.22573659799,2.2737367544323206e-13,3714.3107011167613,10130.775489698686
2025-01-18,50912.672978070645,0.0,5.227889232628513e-13,50912.672978070645,1.1368683772161603e-13,10130.775489698686,7509.641880285726
2025-01-19,57444.40060822012,0.0,65168.60825843696,122613.00886665708,9409.413446271534,7509.641880285726,1204.0284543333335
2025-01-20,77157.8729859077,0.0,7.736105089861666e-13,77157.8729859077,2.8421709430404007e-13,1204.0284543333335,1835.5488561326545
2025-01-21,77319.29168722758,0.0,0.0,77319.29168722758,0.0,1835.5488561326545,2858.865911664914
2025-01-22,88551.08433115315,0.0,1.388059445162071e-12,88551.08433115315,2.2737367544323206e-13,2858.865911664914,3975.378145857016
2025-01-23,90054.24642291911,0.0,6.735376700817142e-13,90054.24642291911,1.1368683772161603e-13,3975.378145857016,4110.037939253314
2025-01-24,32596.26083024675,0.0,4.610001269611531e-13,32596.26083024675,1.1368683772161603e-13,4110.037939253314,4940.0866288023535
2025-01-25,31956.160918538837,0.0,4.653770702134352e-13,31956.160918538837,1.1368683772161603e-13,4940.0866288023535,4617.874298863692
2025-01-26,83616.05151709344,0.0,0.0,83616.05151709344,0.0,4617.874298863692,3860.0736206932665
