日期,时间段,充电kWh,放电kWh,0点储电kWh,24点储电kWh
2025-03-20,0:00-4:00,7092.435321652626,77.16359999999997,2358.7152845126366,1902.396958049531
2025-03-20,4:00-8:00,2557.9819974090915,5118.457894041125,2358.7152845126366,1902.396958049531
2025-03-20,8:00-12:00,6148.52145623811,2777.3772166666668,2358.7152845126366,1902.396958049531
2025-03-20,12:00-16:00,3737.9473072024734,456.19256125972635,2358.7152845126366,1902.396958049531
2025-03-20,16:00-20:00,205.8031900177665,7014.630030090533,2358.7152845126366,1902.396958049531
2025-03-20,20:00-24:00,611.8114166666662,1454.01075,2358.7152845126366,1902.396958049531
2025-06-21,0:00-4:00,910.6718799999999,529.2583750779011,3299.7445703459716,3686.922064558012
2025-06-21,4:00-8:00,1304.1508321388983,1735.287585870351,3299.7445703459716,3686.922064558012
2025-06-21,8:00-12:00,8914.530185067126,0.0,3299.7445703459716,3686.922064558012
2025-06-21,12:00-16:00,0.0,0.0,3299.7445703459716,3686.922064558012
2025-06-21,16:00-20:00,0.0,5285.4907,3299.7445703459716,3686.922064558012
2025-06-21,20:00-24:00,1592.6772695000002,2406.3480292927898,3299.7445703459716,3686.922064558012
2025-09-23,0:00-4:00,7141.572451991558,11.995832587006817,1906.6288971689326,2351.6399204151126
2025-09-23,4:00-8:00,2969.0830712178395,5975.025241024774,1906.6288971689326,2351.6399204151126
2025-09-23,8:00-12:00,5707.887861602981,1896.6157166666667,1906.6288971689326,2351.6399204151126
2025-09-23,12:00-16:00,4196.505934378239,486.9536923548473,1906.6288971689326,2351.6399204151126
2025-09-23,16:00-20:00,334.7560407780105,6343.203597166668,1906.6288971689326,2351.6399204151126
2025-09-23,20:00-24:00,931.9273932765997,2123.89952940711,1906.6288971689326,2351.6399204151126
2025-12-21,0:00-4:00,9636.6898,118.28181666666649,1957.0372033534077,2042.715287300655
2025-12-21,4:00-8:00,359.8081416649393,843.5235635713531,1957.0372033534077,2042.715287300655
2025-12-21,8:00-12:00,6032.858247044839,6647.406137389004,1957.0372033534077,2042.715287300655
2025-12-21,12:00-16:00,6244.238107074452,2473.7333458762664,1957.0372033534077,2042.715287300655
2025-12-21,16:00-20:00,0.0,5581.839803196077,1957.0372033534077,2042.715287300655
2025-12-21,20:00-24:00,674.6199333333329,2846.1585833333334,1957.0372033534077,2042.715287300655
