date,normal_cost_cny,adjustment_cost_cny,emergency_cost_cny,total_cost_cny,emergency_kwh,initial_kwh,terminal_kwh
2025-01-01,0.0,0.0,423086.4059909256,423086.4059909256,87715.17001756668,6000.0,1200.0000009999999
2025-01-02,80529.99078460308,6935.668747872875,6955.473031278711,94421.13256375467,1133.9619098779476,1200.0000009999999,1608.9315328518517
2025-01-03,54920.30704640141,8151.45211002941,1.651768683339462e-12,63071.75915643082,3.9896019905154116e-13,1608.9315328518517,7775.061169751601
2025-01-04,27769.57876508556,3316.7167017333627,9.322320693172515e-14,31086.295466818923,5.684341886080802e-14,7775.061169751601,2096.7285966591594
2025-01-05,63352.887494358976,11994.982876591263,86412.46442948237,161760.3348004326,13970.792598782991,2096.7285966591594,1200.0000009999999
2025-01-06,73490.66907656919,2717.899007224938,5964.051546367036,82172.61963016116,868.9722698543588,1200.0000009999999,1347.9776103903398
2025-01-07,77430.7715744579,2163.7470675173986,2.8717295208480207e-12,79594.5186419753,6.252776074688882e-13,1347.9776103903398,2119.599553158039
2025-01-08,75563.67816783386,6150.7536439590585,0.0,81714.43181179292,0.0,2119.599553158039,2108.4083695047293
2025-01-09,78536.70096371681,3293.1226420916005,1.1143015399284196e-12,81829.82360580841,2.2737367544323206e-13,2108.4083695047293,1811.4675972741225
2025-01-10,47891.87886465488,9327.22003523889,1.7330137325188844e-12,57219.09889989377,3.410605131648481e-13,1811.4675972741225,7173.6510496428455
2025-01-11,35746.17881488378,5913.53334100409,0.0,41659.71215588787,0.0,7173.6510496428455,4216.941005281111
2025-01-12,69127.02547771775,8249.510448343528,35298.62006410266,112675.15599016394,5567.8419741947255,4216.941005281111,1200.0000009999999
2025-01-13,69514.39465352836,3920.825480785064,8464.512024211057,81899.73215852448,1484.4345818543916,1200.0000009999999,1200.0000009999999
2025-01-14,73307.97136256313,1747.6734806502382,2.8699531640086212e-12,75055.64484321336,6.536993168992922e-13,1200.0000009999999,1871.9721252916993
2025-01-15,76528.76390760706,1708.134184925554,2.4683637889460603e-12,78236.89809253262,5.337909239242714e-13,1871.9721252916993,2340.599891608891
2025-01-16,72577.5215729113,2376.5211117576264,1049.3455042748328,76003.38818894376,134.4460953296208,2340.599891608891,1711.466599409038
2025-01-17,48943.73966409691,6621.035746042628,1.486284872953547e-12,55564.77541013954,4.547473508864641e-13,1711.466599409038,7399.220048351628
2025-01-18,35196.91097229544,6312.0760930070055,4.5156411943025887e-13,41508.98706530244,2.2737367544323206e-13,7399.220048351628,4511.67520155062
2025-01-19,65044.443170867744,8562.687539068236,42482.420713546366,116089.55142348235,6778.358442599499,4511.67520155062,1200.0000009999999
2025-01-20,68247.61428137452,3021.619985129364,14237.131191512652,85506.36545801655,2110.4626717859082,1200.0000009999999,1279.4570271754571
2025-01-21,67239.78612158552,2060.338264401593,8.318750133184948e-13,69300.12438598712,2.8421709430404007e-13,1279.4570271754571,2375.9997448565205
2025-01-22,75508.6473263035,4305.284032484448,1.5542696019110738e-12,79813.93135878794,3.694822225952521e-13,2375.9997448565205,1745.6340488398237
2025-01-23,77343.45301852308,3733.6074556716235,3.2723050935601354e-12,81077.0604741947,6.821210263296962e-13,1745.6340488398237,2155.917786916624
2025-01-24,22642.44669262562,1797.2958511257611,1.297442186239811e-13,24439.74254375138,2.399116468638704e-14,2155.917786916624,3157.7820547074157
2025-01-25,23204.471776939386,1112.7864109660743,8.340634849446359e-13,24317.25818790546,1.7053025658242404e-13,3157.7820547074157,2737.407198551707
2025-01-26,73197.22468286156,5108.841703812662,1.4124736935627878e-12,78306.06638667423,2.8421709430404007e-13,2737.407198551707,2057.4317360458585
2025-01-27,67940.73670811739,2108.326387866843,1.4657075553259347e-13,70049.06309598422,2.842170943040401e-14,2057.4317360458585,1961.5965906526048
2025-01-28,70337.64064748626,2984.1531672689207,330.1472749621827,73651.94108971737,42.79290667040618,1961.5965906526048,1723.6336291889404
2025-01-29,64979.727297415826,2014.6463869517781,67.71670015966656,67062.09038452727,9.787771938956013,1723.6336291889404,2270.860330872578
2025-01-30,68253.85028503381,1172.5447480834316,2.7944391385288995e-12,69426.39503311724,5.143059372478276e-13,2270.860330872578,1821.4209085489556
2025-01-31,21153.8970582151,716.6736126032831,8.28151769383112e-13,21870.570670818386,3.552713678800501e-13,1821.4209085489556,2379.470316116976
2025-02-01,18784.198832722854,1705.7685071624587,0.0,20489.967339885312,0.0,2379.470316116976,3208.986134367479
2025-02-02,59926.44914288452,3779.5339598940527,762.2795525705733,64468.26265534915,120.27130838917228,3208.986134367479,1904.2986923990647
2025-02-03,62272.923556181064,4043.206368102434,3.4210927424283004e-12,66316.1299242835,8.242295734817162e-13,1904.2986923990647,2061.2402116991907
2025-02-04,63680.59796856241,4391.431515768581,6.609217022728818,68078.63870135373,2.95054331371756,2061.2402116991907,1689.933962135714
2025-02-05,62167.50341132404,2507.806917864978,2.1316139964255853e-12,64675.310329189015,5.400124791776761e-13,1689.933962135714,1857.5395666353295
2025-02-06,62017.2023516042,5042.609893767649,139.85348662123326,67199.66573199308,19.333695563588794,1857.5395666353295,2064.1492436979497
2025-02-07,18070.499668577435,1179.9114085480182,0.0,19250.411077125453,0.0,2064.1492436979497,1851.2677638604664
2025-02-08,15980.322250947665,121.9027038601325,2.574042216588284e-12,16102.2249548078,7.962709251051149e-13,1851.2677638604664,1913.463345393532
2025-02-09,61583.46218634187,1221.4782043326431,9.253540156350937e-13,62804.940390674514,1.7053025658242404e-13,1913.463345393532,1700.171174656015
2025-02-10,54289.34332514616,2552.090843910645,3.0015320894982014e-12,56841.4341690568,9.142890437796591e-13,1700.171174656015,1351.3793817266194
