日期,时间段,充电kWh,放电kWh,0点储电kWh,24点储电kWh
2025-03-20,0:00-4:00,7138.64954923221,170.7878666666668,2193.62900969101,1483.4016982222224
2025-03-20,4:00-8:00,2686.4933747363157,6028.900156867616,2193.62900969101,1483.4016982222224
2025-03-20,8:00-12:00,3789.4175269452608,2652.9438527021343,2193.62900969101,1483.4016982222224
2025-03-20,12:00-16:00,6878.911104296003,254.72278333333327,2193.62900969101,1483.4016982222224
2025-03-20,16:00-20:00,315.64595694765455,7305.235707232142,2193.62900969101,1483.4016982222224
2025-03-20,20:00-24:00,413.5980096459463,1417.0137861807632,2193.62900969101,1483.4016982222224
2025-06-21,0:00-4:00,573.51425,146.93565000000007,1410.116764518518,2518.2289718120514
2025-06-21,4:00-8:00,2558.1785140236743,1772.050897609176,1410.116764518518,2518.2289718120514
2025-06-21,8:00-12:00,9670.63002442387,0.0,1410.116764518518,2518.2289718120514
2025-06-21,12:00-16:00,0.0,0.0,1410.116764518518,2518.2289718120514
2025-06-21,16:00-20:00,0.0,5733.4290717415315,1410.116764518518,2518.2289718120514
2025-06-21,20:00-24:00,1003.4075393984313,2532.9249596403524,1410.116764518518,2518.2289718120514
2025-09-23,0:00-4:00,7038.753993716039,25.63515000000018,1738.1528162175462,1679.8255352678077
2025-09-23,4:00-8:00,3143.5603844846673,6571.772536111112,1738.1528162175462,1679.8255352678077
2025-09-23,8:00-12:00,5622.931669056761,1896.6157166666667,1738.1528162175462,1679.8255352678077
2025-09-23,12:00-16:00,5207.608792026919,478.34973451971666,1738.1528162175462,1679.8255352678077
2025-09-23,16:00-20:00,195.23396590035384,6522.021944747481,1738.1528162175462,1679.8255352678077
2025-09-23,20:00-24:00,603.2998284743492,2225.3242640736535,1738.1528162175462,1679.8255352678077
2025-12-21,0:00-4:00,9424.949733333335,192.73079999999982,2048.593861099961,1518.141938218447
2025-12-21,4:00-8:00,599.1023128930523,883.8191666666669,2048.593861099961,1518.141938218447
2025-12-21,8:00-12:00,5245.260625388491,7441.896023045641,2048.593861099961,1518.141938218447
2025-12-21,12:00-16:00,8025.06388916011,2473.7335004053903,2048.593861099961,1518.141938218447
2025-12-21,16:00-20:00,0.0,5922.472107672405,2048.593861099961,1518.141938218447
2025-12-21,20:00-24:00,400.7860002015674,2755.8368071942614,2048.593861099961,1518.141938218447
