scenario,model_version,update_hours,terminal_value_factor,february_initial_soc_kwh,normal_or_final_cost_cny,adjustment_cost_cny,emergency_cost_cny,emergency_energy_kwh,total_cost_cny,january_warmup_cost_cny
q1_engineering_baseline,deterministic single-day storage dispatch,,,,,,,,35126.94858928963,
q2_engineering_baseline,engineering_baseline_legacy_january,,,5869.347961086666,16291622.99313919,,2407040.8300985675,405289.371301606,18698663.823237758,1523297.3050960402
q2_causal_zero,causal_january_zero_cold_start,,,10450.352309160588,16289477.65778381,,2407040.8300985675,405289.371301606,18696518.487882376,2634657.8280835645
q2_causal_baseline,causal_january_baseline_cold_start,,,10450.352309160588,16289477.65778381,,2407040.8300985675,405289.371301606,18696518.487882376,2489874.2811152423
q3_update_0,causal rolling-horizon MPC with real-time storage recourse,0,0.0,10799.999999,16509341.145114033,0.0,2245435.1757301423,373115.91895288305,18754776.320844173,2395737.803009528
q3_update_0_6,causal rolling-horizon MPC with real-time storage recourse,"0,6",0.0,10667.922771745201,16141393.788722338,617393.4012361304,1448092.4985751025,234504.32197959573,18206879.68853357,2302715.916734348
q3_update_0_6_12,causal rolling-horizon MPC with real-time storage recourse,"0,6,12",0.0,10286.891328911619,15775513.043206561,909680.6882432214,1009142.7281770566,164694.8838865336,17694336.45962684,2228191.307861754
q3_update_full_no_terminal,causal rolling-horizon MPC with real-time storage recourse,"0,6,12,18",0.0,9661.99950979308,15991923.831444368,1188858.4537961716,169030.2381490016,33494.57126188429,17349812.52338954,2138086.040519247
q3_update_full_terminal,causal rolling-horizon MPC with real-time storage recourse,"0,6,12,18",0.9,10799.999999,16525005.067297906,1179731.2013625174,164184.54389707439,31898.883541992887,17868920.812557496,2193499.214542288
